Class ID	Parents
HP_0000759	HP_0012639
HP_0005770	
HP_0002680	HP_0002681
HP_0003004	
HP_0004816	
HP_0011192	HP_0011185
HP_0012372	HP_0000478
HP_0008669	HP_0000025
HP_0100915	HP_0100899|HP_0009832
HP_0100182	HP_0100095|HP_0100068
HP_0003789	HP_0003198
HP_0004631	HP_0001371
HP_0010878	HP_0000476|HP_0010880
HP_0000554	HP_0000553|HP_0100533
HP_0003171	
HP_0004983	
HP_0030572	HP_0030535
HP_0025273	HP_0025230
HP_0003904	HP_0010580|HP_0003839
HP_0008196	
HP_0000081	HP_0004742
HP_0005975	
HP_0002909	HP_0003355
HP_0003340	
HP_0002176	HP_0002143
HP_0012591	HP_0003110
HP_0030564	HP_0030534
HP_0006233	HP_0004268
HP_0001846	
HP_0009168	HP_0009375|HP_0004219|HP_0009845
HP_0025029	HP_0025028
HP_0031367	HP_0000944
HP_0008023	
HP_0011397	HP_0002143
HP_0007638	
HP_0100099	HP_0010341
HP_0012164	HP_0100022
HP_0025472	HP_0002841
HP_0003600	
HP_0004403	HP_0002032
HP_0040316	
HP_0005482	HP_0005339
HP_0003376	HP_0001288
HP_0007433	
HP_0000141	HP_0000140
HP_0100387	HP_0010745
HP_0009223	HP_0010266|HP_0009402|HP_0009247
HP_0009595	HP_0001067
HP_0012128	HP_0002134
HP_0006682	HP_0004308
HP_0010038	HP_0010036|HP_0010049
HP_0030777	HP_0030775
HP_0000682	HP_0011061|HP_3000050
HP_0100159	HP_0100057|HP_0100093
HP_0001006	HP_0011362
HP_0005687	HP_0003871
HP_0031276	HP_0031273
HP_0011224	HP_0011226
HP_0025605	HP_0031785
HP_0009744	HP_0010303|HP_0010652
HP_0003168	HP_0003355
HP_0002345	HP_0001337
HP_0100419	HP_0100401
HP_0007225	
HP_0000255	HP_0000246
HP_0040048	HP_0040046
HP_0002818	HP_0040072
HP_0003952	HP_0003949|HP_0003854
HP_0040103	HP_0000402
HP_0001862	HP_0001868|HP_0200042
HP_0002009	HP_0011334
HP_0100214	HP_0100078|HP_0100098
HP_0012424	HP_0000532
HP_0031331	HP_0001627|HP_0025461
HP_0100963	HP_0000763
HP_0005742	
HP_0010197	HP_0010183|HP_0010176
HP_0006438	HP_0010590
HP_0030624	HP_0030625
HP_0000310	
HP_0010634	HP_0004409
HP_0008228	
HP_0006607	HP_0004348|HP_0000919|HP_0012306
HP_0008580	
HP_0000394	HP_0000377
HP_0009331	HP_0009420|HP_0009334|HP_0010267
HP_0005274	HP_0000436
HP_0011560	HP_0011546|HP_0001633
HP_0100495	HP_0100494
HP_0100328	HP_0009702|HP_0009701
HP_0003744	HP_0003743
HP_0008769	
HP_0007801	
HP_0011978	HP_0040156
HP_0010166	HP_0100168|HP_0010160
HP_0100755	HP_0000163
HP_0025586	HP_0025587
HP_0030096	HP_0030089
HP_0011169	HP_0002197
HP_0008564	
HP_0002605	HP_0410042
HP_0010839	HP_0045036
HP_0009367	
HP_0006474	
HP_0012760	HP_0012433
HP_0004944	HP_0009145|HP_0002617
HP_0030533	HP_0030532
HP_0000887	HP_0000772
HP_3000064	HP_0040173
HP_0010221	HP_0010220
HP_0001618	HP_0002167|HP_0001608
HP_0002137	
HP_0008096	HP_0010326
HP_0012532	HP_0012531
HP_0003949	HP_0009811|HP_0009809
HP_0001990	
HP_0005870	
HP_0003689	HP_0009141
HP_0009063	HP_0002460
HP_0030877	HP_0006536|HP_0030878
HP_0010138	HP_0010113|HP_0010124
HP_0008356	
HP_0004279	HP_0005927|HP_0100871
HP_0040211	HP_0011356|HP_0100871
HP_0010565	HP_0005483
HP_0031495	HP_0031493
HP_0030672	HP_0004327
HP_0025137	HP_0025135
HP_0009963	HP_0009959|HP_0004172|HP_0010008
HP_0009099	HP_0000175
HP_0008151	HP_0012200
HP_0001181	HP_0001172
HP_0002993	
HP_0010426	HP_0010412|HP_0010429
HP_0012095	HP_0001373
HP_0030932	HP_0030918
HP_0004531	
HP_0007569	HP_0001051
HP_0009536	HP_0009381|HP_0006264
HP_0005479	HP_0004313
HP_0011765	
HP_0040247	HP_0040224
HP_0003536	HP_0000816
HP_0002713	
HP_0000623	HP_0000602
HP_0100054	HP_0010172|HP_0010323
HP_0031171	HP_0002823
HP_0004503	
HP_0030464	HP_0100289
HP_0500053	HP_0500049
HP_0007120	
HP_0008932	
HP_0020049	HP_0000486
HP_0003063	HP_0040070|HP_0001454
HP_0004875	HP_0005348|HP_0002643
HP_0005030	
HP_0008068	
HP_0006842	
HP_0011297	HP_0002813
HP_0006806	
HP_0003913	HP_0003850|HP_0003907
HP_0002749	HP_0004349
HP_0011352	HP_0010863
HP_0004670	
HP_0009872	
HP_0000607	HP_0100678|HP_0000606
HP_0002580	HP_0002242
HP_0002489	
HP_0011092	HP_0011070
HP_0012737	HP_0100833|HP_0005266
HP_0100547	HP_0012443
HP_0031644	HP_0005112
HP_0000186	
HP_0001998	HP_0001943
HP_0007156	HP_0003552|HP_0009127
HP_0008968	HP_0003712|HP_0001437
