Class ID	Parents
DOID_252	DOID_251
DOID_4782	DOID_2921
DOID_0090129	DOID_3146
DOID_13581	
DOID_0050940	DOID_7519
DOID_0070132	DOID_0070143
DOID_14761	DOID_12960
DOID_0050906	DOID_0060096
DOID_0050923	DOID_3963
DOID_0060827	DOID_0060309
DOID_0060844	DOID_0050735
DOID_8748	
DOID_8595	
DOID_4935	
DOID_482	DOID_255
DOID_6808	
DOID_0050813	DOID_0080027
DOID_12214	
DOID_8023	DOID_5363|DOID_5697
DOID_11996	DOID_2519
DOID_2515	
DOID_0110651	DOID_2843
DOID_0110634	DOID_0050557
DOID_0110744	DOID_9744
DOID_0110761	DOID_9744
DOID_5698	DOID_3382
DOID_10424	
DOID_5877	DOID_0050825|DOID_117
DOID_10291	
DOID_4841	
DOID_2842	DOID_2843
DOID_0110871	DOID_0050534
DOID_6173	
DOID_14537	
DOID_240	DOID_3480
DOID_0110854	DOID_2580
DOID_4662	DOID_936
DOID_11624	DOID_0060087
DOID_9388	DOID_9383
DOID_2338	DOID_1862
DOID_2129	DOID_1319
DOID_0110414	DOID_10584
DOID_0060270	DOID_0060264
DOID_0110431	DOID_12930
DOID_0060380	DOID_4501
DOID_0050271	
DOID_0110524	DOID_0050565
DOID_0110541	DOID_0050564
DOID_4700	
DOID_10017	DOID_0050736
DOID_7936	DOID_5599|DOID_712
DOID_9697	DOID_4677
DOID_9909	DOID_530
DOID_11589	DOID_0050548
DOID_12447	
DOID_8452	
DOID_2456	DOID_9423
DOID_10305	
DOID_6514	DOID_5350
DOID_2791	
DOID_2094	
DOID_0060490	DOID_0080027
DOID_4276	
DOID_14706	
DOID_326	DOID_178
DOID_14482	DOID_2731
DOID_5790	
DOID_3617	DOID_3616|DOID_13743|DOID_3618
DOID_728	DOID_11343
DOID_9059	
DOID_4521	DOID_4362
DOID_2009	
DOID_12783	DOID_6364
DOID_0110901	DOID_0050589
DOID_13695	
DOID_12356	
DOID_6032	DOID_5331
DOID_9368	DOID_5614
DOID_3523	DOID_3454
DOID_9210	DOID_934
DOID_5705	DOID_5690
DOID_5284	DOID_12341
DOID_0060720	DOID_0060655
DOID_0050611	DOID_8719
DOID_3370	
DOID_862	DOID_863
DOID_5343	DOID_4439|DOID_1911
DOID_0060703	DOID_2340
DOID_11752	DOID_9724
DOID_9031	
DOID_1650	DOID_0050671
DOID_5437	DOID_5381
DOID_0060140	DOID_4090
DOID_0060123	DOID_0060099
DOID_0050014	
DOID_13703	
DOID_2101	DOID_1294
DOID_0050124	
DOID_0050141	DOID_11976
DOID_5128	DOID_127
DOID_11613	DOID_1923
DOID_0080026	DOID_2256
DOID_5825	DOID_0060058
DOID_0080060	DOID_0050950
DOID_0060106	DOID_1319
DOID_0080043	DOID_2256
DOID_0080136	DOID_700
DOID_0070027	DOID_9246
DOID_0080153	DOID_3146
DOID_0080170	DOID_182
DOID_0050107	
DOID_0070044	DOID_0060307
DOID_314	DOID_200
DOID_13282	DOID_404|DOID_5295
DOID_5463	DOID_2952
DOID_11788	
DOID_8699	
DOID_9151	
DOID_3464	
DOID_14033	DOID_5158
DOID_0050697	DOID_780
DOID_12287	DOID_934
DOID_4439	DOID_3620
DOID_10145	
DOID_11957	
DOID_0110023	DOID_10871
DOID_0110040	DOID_10652
DOID_14202	DOID_10223
DOID_8615	
DOID_2775	DOID_2776
DOID_1412	DOID_18
DOID_2566	DOID_10124
DOID_0050587	DOID_10937
DOID_13487	DOID_0060040
DOID_0111105	DOID_0050524
DOID_10200	DOID_0060097|DOID_3315
DOID_0060610	DOID_225
DOID_0050501	
DOID_14681	DOID_0080014
DOID_6379	DOID_4955
DOID_12112	
DOID_11697	
DOID_12708	
DOID_10618	
DOID_3017	DOID_1612
DOID_1530	
DOID_2293	
DOID_0050490	DOID_9988
DOID_0050473	DOID_0050737
DOID_557	DOID_18
DOID_10793	DOID_10794
DOID_0060284	DOID_582
DOID_0060267	DOID_0060264
DOID_2472	
DOID_2681	
DOID_739	
DOID_9866	
DOID_9378	DOID_9383
DOID_2328	
DOID_13207	DOID_8947
DOID_4531	DOID_0050904
DOID_6016	DOID_6015
DOID_0050380	
DOID_0050363	
DOID_12883	DOID_4737
DOID_13074	DOID_4123|DOID_8913
DOID_12251	
DOID_10757	
DOID_4286	DOID_2513
DOID_12724	
DOID_9498	DOID_999
DOID_0111081	DOID_13636
DOID_8133	DOID_13476
DOID_11284	
DOID_2446	
DOID_2834	DOID_8432
DOID_3597	
DOID_0050850	DOID_936
DOID_10289	DOID_10283
DOID_0050960	DOID_1441
DOID_7076	DOID_5658
DOID_1389	DOID_574
DOID_12043	DOID_11244|DOID_2383
DOID_0110988	DOID_0050777
DOID_11713	DOID_341
DOID_10549	
DOID_11489	
DOID_7926	DOID_3282
DOID_9258	DOID_0050736
DOID_11749	
DOID_10926	
DOID_4202	DOID_4203|DOID_3070
DOID_8689	DOID_8670
DOID_12852	
DOID_5353	DOID_5295
DOID_0110671	DOID_3635
DOID_1540	DOID_305|DOID_11201|DOID_170
DOID_10458	DOID_0050338
DOID_9200	
DOID_3480	DOID_5614
DOID_0080057	DOID_0050950
DOID_13382	DOID_2361
DOID_9503	DOID_9498|DOID_5870
DOID_0060137	DOID_4090
DOID_9470	DOID_9471
DOID_0110184	DOID_0050541
DOID_1757	DOID_1756
DOID_95	
DOID_3842	DOID_1863
DOID_3633	DOID_3211
DOID_0050106	
DOID_5327	DOID_5679
DOID_6869	DOID_6114
DOID_5118	DOID_2660|DOID_6231
DOID_0070009	DOID_0050569
DOID_0070119	DOID_0050778
DOID_0090056	DOID_543
DOID_0090039	DOID_0050835
DOID_1992	DOID_1909|DOID_1993
DOID_0070136	DOID_0070142
DOID_0060027	DOID_2583
DOID_631	DOID_633
DOID_8781	DOID_934
DOID_2609	DOID_4236
DOID_0110054	DOID_2187
DOID_0110037	DOID_10652
DOID_1034	
DOID_8572	
DOID_0110638	DOID_0050557
DOID_4758	
DOID_0110748	
DOID_13351	DOID_0060044
DOID_6632	
DOID_1060	DOID_9252
DOID_10045	
DOID_8814	
DOID_3033	DOID_234
DOID_0050703	DOID_0050701
DOID_0050720	DOID_9252
DOID_0060514	DOID_0060513
DOID_10718	DOID_2789
DOID_3027	
DOID_12387	DOID_11705
DOID_0110858	DOID_898
DOID_1213	
DOID_3360	DOID_3347
DOID_11912	
DOID_8588	
DOID_10894	
DOID_4928	DOID_4947
DOID_0110607	DOID_9562
DOID_0060463	DOID_305
DOID_0060480	DOID_0060036
DOID_0050354	DOID_11976
DOID_0050481	DOID_11256
DOID_0050464	DOID_9455
DOID_5041	DOID_3119|DOID_6050
DOID_3412	
DOID_12432	
DOID_0050261	DOID_883
DOID_0110514	DOID_0050565
DOID_0111068	DOID_0050674
DOID_0050371	
DOID_0050244	
DOID_0111085	DOID_13636
DOID_13175	
DOID_5370	DOID_3017
DOID_11033	DOID_11030
DOID_12845	
DOID_478	
DOID_11385	DOID_93
DOID_1294	DOID_1245
DOID_1682	DOID_114
DOID_4472	DOID_4450
DOID_10481	DOID_0080000
DOID_0050841	DOID_0050836
DOID_0050951	DOID_1289
DOID_2961	
DOID_12144	DOID_365
DOID_8504	DOID_4223
DOID_4681	DOID_4531|DOID_4897
DOID_6286	DOID_3079|DOID_4848
DOID_8259	DOID_736
DOID_6774	DOID_5351
DOID_11681	
DOID_1110	
DOID_6807	
DOID_10902	
DOID_2598	DOID_0050621
DOID_10038	
DOID_3877	DOID_5353
DOID_8022	DOID_270
DOID_9773	DOID_0050671
DOID_8410	DOID_8411
DOID_2723	DOID_37
DOID_12089	
DOID_9952	DOID_1037
DOID_9808	DOID_417
DOID_26	DOID_28
DOID_2361	DOID_2355
DOID_5597	DOID_3112|DOID_3706
DOID_11401	DOID_1076
